Prompt,Response,Confidence,Tier_Detected,Correct
What is the capital of France?,Paris,1.0,Trivial,True
Who wrote Romeo and Juliet?,William Shakespeare,1.0,Trivial,True
What is the chemical symbol for gold?,Au,1.0,Trivial,True
Which planet is known as the Red Planet?,Mars,1.0,Trivial,True
What is 2+2?,4,1.0,Trivial,True
Who painted the Mona Lisa?,Leonardo da Vinci,1.0,Trivial,True
What is the largest ocean on Earth?,Pacific Ocean,1.0,Trivial,True
In which year did World War II end?,1945,1.0,Trivial,True
What is the square root of 16?,4,1.0,Trivial,True
Who is the author of The Odyssey?,Homer,1.0,Trivial,True
What is the capital of Japan?,Tokyo,1.0,Trivial,True
What gas do humans breathe in to survive?,Oxygen,1.0,Trivial,True
Which is the largest continent?,Asia,1.0,Trivial,True
Who was the first President of the United States?,George Washington,1.0,Trivial,True
What is the boiling point of water in Celsius?,100,1.0,Trivial,True
What is the smallest prime number?,2,1.0,Trivial,True
Which organ pumps blood through the body?,Heart,1.0,Trivial,True
What is the currency of the United Kingdom?,Pound Sterling,1.0,Trivial,True
Who discovered penicillin?,Alexander Fleming,1.0,Trivial,True
What is the most spoken language in the world?,English,1.0,Trivial,True
21,Explain the basic principle of photosynthesis.,The process by which green plants and some other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,1.0,Standard
22,What is the function of a ribosome in a cell?,Proteins synthesis.,1.0,Standard
23,Describe the main cause of the French Revolution.,Social inequality and economic crisis.,1.0,Standard
24,What is the difference between mitosis and meiosis?,Mitosis produces two identical daughter cells; meiosis produces four genetically unique gametes.,1.0,Standard
25,How does a transformer work in an electrical circuit?,It changes the voltage of an alternating current through electromagnetic induction.,1.0,Standard
26,What are the primary colors of light?,Red Green Blue.,1.0,Standard
27,Explain the concept of supply and demand in economics.,The price of a good is determined by the quantity supplied and the quantity demanded.,1.0,Standard
28,What is the purpose of the ozone layer?,To protect Earth from harmful ultraviolet radiation.,1.0,Standard
29,How do vaccines work?,They stimulate the immune system to recognize and fight specific pathogens.,1.0,Standard
30,What is the significance of the Magna Carta?,It established that everyone including the king was subject to the law.,1.0,Standard
31,Define the term inflation in economics.,The general increase in prices and fall in the purchasing value of money.,1.0,Standard
32,What is the role of the liver in the human body?,Detoxification and metabolism of nutrients.,1.0,Standard
33,Explain the process of evaporation.,The transition of a liquid to a gas.,1.0,Standard
34,What is the main objective of the United Nations?,To maintain international peace and security.,1.0,Standard
35,How does a microwave oven heat food?,By using microwave radiation to excite water molecules.,1.0,Standard
36,What is the difference between a virus and a bacterium?,Bacteria are living single-celled organisms; viruses are non-living genetic material wrapped in protein.,1.0,Standard
37,Describe the function of the human kidney.,To filter waste products from the blood and regulate water balance.,1.0,Standard
38,What is the Pythagorean theorem?,a squared plus b squared equals c squared for right triangles.,1.0,Standard
39,What is the purpose of a firewall in computer networking?,To monitor and control incoming and outgoing network traffic based on security rules.,1.0,Standard
40,Explain the law of conservation of energy.,Energy cannot be created or destroyed only transformed.,1.0,Standard
41,What is the basic unit of life?,The cell.,1.0,Standard
42,How does the greenhouse effect work?,Certain gases trap heat in the atmosphere warming the Earth.,1.0,Standard
43,What is the role of a catalyst in a chemical reaction?,To increase the rate of reaction by lowering activation energy.,1.0,Standard
44,Describe the function of the large intestine.,Absorption of water and formation of stool.,1.0,Standard
45,What is the difference between a solar and lunar eclipse?,Solar is moon between sun and earth; lunar is earth between sun and moon.,1.0,Standard
46,What is the primary purpose of a central bank?,To manage a country's currency and monetary policy.,1.0,Standard
47,Explain the concept of relativity in simple terms.,The idea that space and time are linked for relative observers.,1.0,Standard
48,What is the function of hemoglobin?,To transport oxygen in the blood.,1.0,Standard
49,Describe the water cycle.,Evaporation condensation precipitation.,1.0,Standard
50,Compare the economic impact of the 2008 financial crisis versus the 1929 Great Depression in terms of GDP contraction.,GDP contraction was significantly more severe in 1929 (~26%) compared to 2008 (~4-5%).,1.0,Complex
51,Explain the mechanism of CRISPR-Cas9 gene editing.,Uses a guide RNA to target a specific DNA sequence and a Cas9 enzyme to cut it.,1.0,Complex
52,Analyze the effect of the gold standard on international trade in the early 20th century.,Limited monetary expansion and tied currencies strictly to gold reserves leading to rigidity.,1.0,Complex
53,How does the Large Hadron Collider detect the Higgs Boson?,By colliding protons at high energies and analyzing the decay products.,1.0,Complex
54,Compare the political structures of the Roman Republic and the Athenian Democracy.,Rome had a representative system with consuls and senate; Athens had direct democracy.,1.0,Complex
55,Explain the paradox of the Fermi Paradox.,The contradiction between the high probability of extraterrestrial life and the lack of evidence.,1.0,Complex
56,What is the relationship between quantum entanglement and the EPR paradox?,Entanglement allows instantaneous state correlation which EPR argued implied hidden variables.,1.0,Complex
57,Describe the impact of the Meiji Restoration on Japanese industrialization.,Rapid modernization and westernization of the economy and military.,1.0,Complex
58,Analyze the role of epigenetic modifications in cellular differentiation.,Chemical changes to DNA and histones that control gene expression without altering the sequence.,1.0,Complex
59,How does a blockchain ensure data integrity without a central authority?,Through a distributed ledger and consensus mechanisms like Proof of Work.,1.0,Complex
60,Explain the difference between Keynesian and Classical economics regarding government intervention.,Keynesians advocate for intervention to manage demand; Classicals believe markets self-correct.,1.0,Complex
61,What is the significance of the Event Horizon in black hole physics?,The boundary beyond which nothing including light can escape.,1.0,Complex
62,Compare the naval strategies of the UK and Germany in World War I.,UK focused on blockade and containment; Germany on breaking the blockade via U-boats.,1.0,Complex
63,Explain the mechanism of action for mRNA vaccines compared to traditional vaccines.,mRNA provides instructions for cells to make the spike protein rather than using a weakened virus.,1.0,Complex
64,What is the role of the prefrontal cortex in executive function?,Responsible for decision making planning and moderating social behavior.,1.0,Complex
65,Describe the process of stellar nucleosynthesis in massive stars.,Fusion of heavier elements up to iron before supernova.,1.0,Complex
66,Analyze the effect of the Treaty of Versailles on the rise of Nazism in Germany.,Created economic hardship and national resentment.,1.0,Complex
67,How does the TCP/IP protocol handle packet loss?,Through acknowledgments and retransmission timers.,1.0,Complex
68,Explain the concept of a Nash Equilibrium in game theory.,A state where no player can improve their outcome by changing only their own strategy.,1.0,Complex
69,What is the impact of ocean acidification on calcifying organisms?,Lowers pH making it harder to build calcium carbonate shells.,1.0,Complex
70,Describe the difference between a latent and a manifest variable in statistics.,Latent is not directly observed; manifest is measured.,1.0,Complex
71,Explain the mechanism of the sodium-potassium pump.,Moves 3 Na out and 2 K in using ATP.,1.0,Complex
72,Analyze the influence of the Enlightenment on the American Revolution.,Promoted ideas of natural rights and social contracts.,1.0,Complex
